Country,GDP (USD) Billion,Total Debt (USD) Billion,Debt-to-GDP Ratio (%),Debt Category
Indonesia,1390,-600,43.2,Moderate (30-60%)
Turkey,1150,-500,43.5,Moderate (30-60%)
Egypt,477,-400,83.9,High (60-90%)
Malaysia,447,-300,67.1,High (60-90%)
Saudi Arabia,1060,-250,23.6,Low (<30%)
Pakistan,376,-250,66.5,High (60-90%)
Iran,367,-200,54.5,Moderate (30-60%)
UAE,503,-150,29.8,Low (<30%)
Kazakhstan,225,-150,66.7,High (60-90%)
Qatar,220,-150,68.2,High (60-90%)
Nigeria,514,-100,19.5,Low (<30%)
Bangladesh,460,-100,21.7,Low (<30%)
Iraq,297,-100,33.7,Moderate (30-60%)
Morocco,147,-80,54.4,Moderate (30-60%)
Algeria,163,-50,30.7,Moderate (30-60%)
